HDR,ROLLING SYSTEM DEMAND
VD,20220223184000,40144
VD,20220223184500,39964
VD,20220223185000,39701
VD,20220223185500,39566
VD,20220223190000,39293
VD,20220223190500,35467
VD,20220223191000,35336
VD,20220223191500,35070
VD,20220223192000,34828
VD,20220223192500,34548
VD,20220223193000,38025
VD,20220223193500,37789
VD,20220223194000,37616
VD,20220223194500,37376
VD,20220223195000,37126
VD,20220223195500,36874
VD,20220223200000,36592
VD,20220223200500,36429
VD,20220223201000,36219
VD,20220223201500,35911
VD,20220223202000,35578
VD,20220223202500,35387
VD,20220223203000,35208
VD,20220223203500,35166
VD,20220223204000,34845
VD,20220223204500,34587
VD,20220223205000,34377
VD,20220223205500,34103
VD,20220223210000,33762
VD,20220223210500,33403
VD,20220223211000,32990
VD,20220223211500,32723
VD,20220223212000,32470
VD,20220223212500,32282
VD,20220223213000,32037
VD,20220223213500,31768
VD,20220223214000,31450
VD,20220223214500,30993
VD,20220223215000,30765
VD,20220223215500,30433
VD,20220223220000,30375
VD,20220223220500,30800
VD,20220223221000,30589
VD,20220223221500,30363
VD,20220223222000,30200
VD,20220223222500,29923
VD,20220223223000,29676
VD,20220223223500,29350
VD,20220223224000,28995
VD,20220223224500,28764
VD,20220223225000,28565
VD,20220223225500,28166
VD,20220223230000,27807
VD,20220223230500,27931
VD,20220223231000,27788
VD,20220223231500,27815
VD,20220223232000,27707
VD,20220223232500,27639
VD,20220223233000,27504
VD,20220223233500,27270
VD,20220223234000,27078
VD,20220223234500,26892
VD,20220223235000,26743
VD,20220223235500,26723
VD,20220224000000,26836
VD,20220224000500,27000
VD,20220224001000,27073
VD,20220224001500,27043
VD,20220224002000,26919
VD,20220224002500,26755
VD,20220224003000,26752
VD,20220224003500,27098
VD,20220224004000,27107
VD,20220224004500,27241
VD,20220224005000,27544
VD,20220224005500,27625
VD,20220224010000,27645
VD,20220224010500,27754
VD,20220224011000,27726
VD,20220224011500,27721
VD,20220224012000,27653
VD,20220224012500,27596
VD,20220224013000,27560
VD,20220224013500,27478
VD,20220224014000,27382
VD,20220224014500,27269
VD,20220224015000,27318
VD,20220224015500,27100
VD,20220224020000,26971
VD,20220224020500,26813
VD,20220224021000,26805
VD,20220224021500,26724
VD,20220224022000,26686
VD,20220224022500,26744
VD,20220224023000,26655
VD,20220224023500,26878
VD,20220224024000,26864
VD,20220224024500,26705
VD,20220224025000,26677
VD,20220224025500,26373
VD,20220224030000,25908
VD,20220224030500,25848
VD,20220224031000,25975
VD,20220224031500,25832
VD,20220224032000,25674
VD,20220224032500,25485
VD,20220224033000,25328
VD,20220224033500,25389
VD,20220224034000,25522
VD,20220224034500,25553
VD,20220224035000,25508
VD,20220224035500,25509
VD,20220224040000,25368
VD,20220224040500,25215
VD,20220224041000,25083
VD,20220224041500,24958
VD,20220224042000,24974
VD,20220224042500,24833
VD,20220224043000,24606
VD,20220224043500,24604
VD,20220224044000,24637
VD,20220224044500,24650
VD,20220224045000,24646
VD,20220224045500,24677
VD,20220224050000,24905
VD,20220224050500,24946
VD,20220224051000,25081
VD,20220224051500,25264
VD,20220224052000,25423
VD,20220224052500,25581
VD,20220224053000,25834
VD,20220224053500,25838
VD,20220224054000,25922
VD,20220224054500,26131
VD,20220224055000,26340
VD,20220224055500,26489
VD,20220224060000,26614
VD,20220224060500,27177
VD,20220224061000,27804
VD,20220224061500,28222
VD,20220224062000,28456
VD,20220224062500,28697
VD,20220224063000,28947
VD,20220224063500,29468
VD,20220224064000,30106
VD,20220224064500,30481
VD,20220224065000,30832
VD,20220224065500,31038
VD,20220224070000,31354
VD,20220224070500,32023
VD,20220224071000,32383
VD,20220224071500,32692
VD,20220224072000,33028
VD,20220224072500,33303
VD,20220224073000,33479
VD,20220224073500,33749
VD,20220224074000,33952
VD,20220224074500,34153
VD,20220224075000,34243
VD,20220224075500,34363
VD,20220224080000,34629
VD,20220224080500,35074
VD,20220224081000,35246
VD,20220224081500,35441
VD,20220224082000,35614
VD,20220224082500,35834
VD,20220224083000,35938
VD,20220224083500,35944
VD,20220224084000,35983
VD,20220224084500,36039
VD,20220224085000,36187
VD,20220224085500,36237
VD,20220224090000,36266
VD,20220224090500,36362
VD,20220224091000,36519
VD,20220224091500,36658
VD,20220224092000,36730
VD,20220224092500,36542
VD,20220224093000,36335
VD,20220224093500,36266
VD,20220224094000,36112
VD,20220224094500,35909
VD,20220224095000,35740
